Year,Month,PriceDifference,GasCostDifference
1999,1,4901.093,2188.148
1999,2,4921.221,2182.759
1999,3,4917.779,2260.314
1999,4,5017.132,2336.86
1999,5,5032.363,2396.757
1999,6,5123.821,2414.243
1999,7,5357.29,2520.688
1999,8,5384.274,2615.962
1999,9,5155.361,2655.438
1999,10,5391.369,2787.758
1999,11,5523.289,2886.408
1999,12,5617.765,2975.642
2000,1,5008.483,2583.473
2000,2,4859.559,2620.679
2000,3,4697.355,2676.587
2000,4,4839.756,2740.281
2000,5,4828.533,2728.553
2000,6,4998.701,2794.383
2000,7,5081.251,2877.083
2000,8,4982.358,2933.879
2000,9,4773.724,3014.621
2000,10,4751.305,3101.774
2000,11,4763.545,3154.757
2000,12,4820.935,3181.104
2001,1,3867.227,2622.373
2001,2,3897.184,2674.467
2001,3,3916.54,2643.021
2001,4,3954.919,2744.992
2001,5,3893.284,2812.549
2001,6,4006.916,2872.676
2001,7,4267.73,3003.759
2001,8,4571.376,3124.228
2001,9,4384.188,3204.487
2001,10,4369.603,3129.595
2001,11,4572.203,3054.644
2001,12,4658.848,3003.672
2002,1,4217.879,2687.394
2002,2,4228.766,2685.08
2002,3,4387.121,2861.126
2002,4,4263.942,2892.117
2002,5,4234.102,2957.844
2002,6,4254.433,2926.453
2002,7,4353.929,3012.384
2002,8,4544.157,3078.572
2002,9,4568.723,3158.653
2002,10,4638.774,3274.621
2002,11,4665.118,3284.369
2002,12,4825.985,3349.541
2003,1,4257.151,3048.72
2003,2,3930.76,3026.378
2003,3,3764.332,2993.477
2003,4,3763.671,3018.042
2003,5,3940.889,3033.545
2003,6,4266.292,3087.573
2003,7,4518.437,3221.563
2003,8,4546.716,3266.095
2003,9,4450.226,3260.576
2003,10,4535.307,3302.398
2003,11,4448.94,3281.055
2003,12,4632.684,3372.785
2004,1,4190.31,2999.187
2004,2,4128.674,2929.749
2004,3,4084.058,3009.406
2004,4,4064.152,3029.654
2004,5,3771.482,3130.579
2004,6,3575.752,3229.947
2004,7,3692.007,3390.937
2004,8,3745.744,3625.681
2004,9,3684.126,3614.274
2004,10,3682.267,3868.593
2004,11,3753.763,3838.281
2004,12,3881.647,3812.451
2005,1,3722.62,3457.7
2005,2,3555.607,3451.921
2005,3,3697.339,3749.049
2005,4,3374.504,3824.47
2005,5,3140.695,3727.677
2005,6,3285.952,4049.939
2005,7,3198.462,4204.688
2005,8,2970.302,4431.968
2005,9,2525.251,4463.886
2005,10,2716.686,4463.067
2005,11,3013.49,4393.427
2005,12,3272.45,4466.025
2006,1,2504.573,4007.515
2006,2,2707.151,4013.879
2006,3,2806.421,4085.068
2006,4,2568.414,4249.188
2006,5,2245.042,4319.513
2006,6,2545.226,4539.036
2006,7,2576.116,4792.627
2006,8,2481.996,4901.705
2006,9,2539.596,4641.339
2006,10,2789.661,4567.257
2006,11,3060.375,4585.074
2006,12,3210.813,4650.529
2007,1,2904.479,3869.866
2007,2,2809.796,3921.237
2007,3,2724.841,3969.647
2007,4,2868.161,4253.558
2007,5,2631.904,4263.98
2007,6,2726.111,4541.931
2007,7,2811.897,4771.372
2007,8,2891.784,4783.014
2007,9,2923.935,4812.464
2007,10,2966.976,5042.999
2007,11,3016.862,5357.923
2007,12,2966.649,5478.502
2008,1,2529.09,4807.997
2008,2,2380.847,4966.485
2008,3,2349.484,5207.572
2008,4,2033.613,5310.614
2008,5,1456.726,5921.443
2008,6,909.7969,6411.532
2008,7,977.5293,6693.161
2008,8,1306.059,6232.781
2008,9,1680.307,6001.544
2008,10,2075.743,5580.301
2008,11,2356.571,5558.53
2008,12,2586.918,5253.65
